segment_id	vector
41222f7c-5358-48bf-bebd-3e7c0a18abe5	'1(unverständlich)':1
b00e9117-1744-44d7-b4b4-a95706dd5612	'1hmm':1 '1jungschi':2 '1brunch':3
32117a21-4552-4eef-9455-0e8b1503acdf	'1i':1 '1ha':2 '1so':3 '1e':4 '1hunne':5 '1lachfläsh':6 '1gha':7 '1u':8 '1de':9 '1het':10 '1tönt':11 '1wie':12 '1so':13 '1ne':14 '1verreckendi':15 '1seerobbe':16
6d2094dc-ba52-4325-8729-309efa0b8efc	'1när':1 '1(.)':2 '1di':3 '1chlini':4 '1di':5 '1ganz':6 '1zit':7 '1so':8
7e5117d1-0e31-407b-80d2-2c9ea511e87d	'1när':1 '1het':2 '1sie':3 '1nomau':4 '1müesse':5 '1afa':6 '1lache':7
3d52a942-1b25-4a53-ae29-493533eaf9f4	'1das':1 '1isch':2 '1öppe':3 '1zwöi':4 '1minute':5 '1gange':6
672af58a-6f24-46e1-b682-8f8439002c31	'1mhm':1
405e1481-7943-4a63-b1e9-d40499440478	'1ehm':1 '1so':2 '1einisch':3 '1im':4 '1monet':5
693fde22-9ec1-4d18-9fcf-ef2c6b2f2f13	'1okay':1 '1guet':2 '1das':3 '1wär':4 '1viu':5 '1aber':6 '1mir':7 '1hei':8 '1das':9 '1semester':10 '1numme':11 '1zwöi':12 '1gha':13 '1oder':14 '1so':15
e3c63f1e-0224-4699-a67e-307f813bc523	'1mhm':1
ec1fab89-2df2-4929-b72e-abb84ca19eff	'1mir':1 '1tüe':2
91fabd82-c376-4f07-90f2-96a3c4f43d7a	'1zmörgele':1
5e3cfc62-98bd-43c7-a40f-1a2ca2b36691	'1brunche':1 '1mit':2 '1späck':3 '1u':4 '1eier':5
f21af695-a645-40e1-98d7-e8cfbb174387	'1das':1 '1isch':2 '1de':3 '1ganz':4 '1wichtig':5 '1dr':6 '1speck':7 '1het':8 '1e':9 '1(.)':10 '1henne':11 '1höche':12 '1(unverständlich)':13 '1bi':14 '1üs':15
77a5c92d-43ce-4228-ad75-78db88cfa24f	'1ja':1 '1isch':2 '1richtig':3 '1gruusig':4 '1we':5 '1d':6 '1ne':7 '1muesch':8 '1brate':9 '1wüu':10 '1es':11 '1isch':12 '1so':13 '1viu':14 '1fett':15 '1wo':16 '1use':17 '1chunnt':18
70e55902-8d15-46a6-9229-ec5e9eac83a5	'1mhm':1
b53a04cf-856c-44e0-b553-48647a0a9244	'1när':1 '1heimer':2 '1ufruume':3 '1after':4 '1brunch':5 '1time':6 '1wo':7 '1meistens':8 '1öpper':9 '1vorbereitet':10 '1irgendwie':11 '1meistens':12 '1d':13 '1XXX':14
35ae5eb7-7836-40f9-89b1-e468fbec8820	'1u':1 '1när':2 '1itz':3 '1läsä':4 '1mer':5 '1so':6 '1nes':7 '1buech':8 '1när':9 '1tüe':10 '1mer':11 '1das':12 '1wie':13 '1vertöife':14 '1es':15 '1isch':16 '1rächt':17 '1kompliziert':18 '1eis':19 '1mau':20 '1bini':21 '1vou':22 '1nid':23 '1drus':24 '1cho':25
f85c5a86-6253-4737-aec2-b3a8c704f5ca	'1aber':1 '1mou':2 '1mou':3 '1i':4 '1has':5 '1när':6 '1verstange':7 '1aber':8 '1weisch':9 '1so':10 '1u':11 '1was':12 '1gits':13 '1aues':14 '1evangeliste':15 '1prophete':16 '1u':17
eb284831-a7e3-417a-8e8f-000f5b30e18b	'1u':1 '1so':2 '1ehm':3 '1sie':4 '1hei':5 '1vo':6 '1hirte':7 '1schregstrich':8 '1lehrer':9 '1u':10 '1no':11 '1öppis':12 '1dritts':13 '1u':14 '1när':15 '1hei':16 '1mer':17 '1haut':18 '1so':19 '1chli':20 '1gluegt':21 '1ja':22 '1was':23 '1mache':24 '1de':25 '1die':26 '1was':27 '1hei':28 '1die':29 '1für':30 '1ufgabe':31 '1u':32 '1so':33
40c04d2a-87d5-4feb-9990-4c078927e273	'1isch':1 '1henne':2 '1kompliziert':3 '1gsi':4 '1(unverständlich)':5 '1uhu':6 '1(.)':7 '1hää':8
ce974328-9261-496b-a2fe-22b9d79d9864	'1(.)':1 '1mhm':2
4496b485-e58c-4b9a-bbad-423fb01a62fb	'1ja':1 '1i':2 '1bi':3 '1äbä':4 '1das':5 '1isch':6 '1de':7 '1erst':8 '1brunch':9 '1gsi':10 '1i':11 '1däm':12 '1semester':13 '1woni':14 '1drbi':15 '1bi':16 '1gsi':17 '1wüu':18 '1mir':19 '1hei':20 '1vorher':21 '1mit':22 '1de':23 '1micros':24 '1speziautag':25 '1gha':26 '1u':27 '1(unverständich)':28
93174552-d918-4799-9814-4a0ef3493d44	'1(unverständlich)':1
