segment_id,char_range,frame_range,speaker_id,meta
312ced99-02f5-475e-911a-8439acc3e59e,"[1,18)","[188,225)",T1_GP1,"{""sent_id"": ""a1"", ""start"": ""7.53"", ""end"": ""9.01"", ""text"": ""(unverst\u00c3\u00a4ndlich)""}"
c5ac29a5-a62d-4e85-97af-6f34247c2100,"[19,38)","[281,304)",T1_GP1,"{""sent_id"": ""a2"", ""start"": ""11.27"", ""end"": ""12.19"", ""text"": ""hmm jungschi brunch""}"
11913918-38b4-4089-8f93-faa51d58d9fc,"[39,115)","[313,418)",T1_GP1,"{""sent_id"": ""a3"", ""start"": ""12.53"", ""end"": ""16.75"", ""text"": ""i ha so e hunne lachfl\u00c3\u00a4sh gha u de het t\u00c3\u00b6nt wie so ne verreckendi seerobbe""}"
4a75b50e-5e9e-462f-9a66-9c850295b896,"[116,149)","[467,504)",T1_GP1,"{""sent_id"": ""a4"", ""start"": ""18.68"", ""end"": ""20.18"", ""text"": ""n\u00c3\u00a4r (.) di chlini di ganz zit so""}"
55a41f43-ef79-4fb9-91b1-877d4d2a17a3,"[150,186)","[552,590)",T1_GP1,"{""sent_id"": ""a5"", ""start"": ""22.11"", ""end"": ""23.62"", ""text"": ""n\u00c3\u00a4r het sie nomau m\u00c3\u00bcesse afa lache""}"
e9030957-9a78-4e01-9c1b-283fc354ada3,"[187,220)","[616,642)",T1_GP1,"{""sent_id"": ""a6"", ""start"": ""24.65"", ""end"": ""25.71"", ""text"": ""das isch \u00c3\u00b6ppe zw\u00c3\u00b6i minute gange""}"
6440d210-d633-4604-b46d-ef0b34d16383,"[221,224)","[686,696)",T1_GP1,"{""sent_id"": ""a7"", ""start"": ""27.46"", ""end"": ""27.86"", ""text"": ""mhm""}"
0ecec118-0ba3-4e03-afa4-3c69b779ad57,"[225,248)","[705,762)",T1_GP1,"{""sent_id"": ""a8"", ""start"": ""28.2"", ""end"": ""30.48"", ""text"": ""ehm so einisch im monet""}"
cd2c0754-3d1d-4144-8561-978275d4b367,"[249,321)","[775,854)",T1_GP1,"{""sent_id"": ""a9"", ""start"": ""31.01"", ""end"": ""34.17"", ""text"": ""okay guet das w\u00c3\u00a4r viu aber mir hei das semester numme zw\u00c3\u00b6i gha oder so""}"
525640aa-129d-468b-846c-a1b48639ba86,"[322,325)","[904,916)",T1_GP1,"{""sent_id"": ""a10"", ""start"": ""36.17"", ""end"": ""36.66"", ""text"": ""mhm""}"
a3117405-1e64-48dc-95d7-aec55752a0f1,"[326,334)","[948,957)",T1_GP1,"{""sent_id"": ""a11"", ""start"": ""37.92"", ""end"": ""38.31"", ""text"": ""mir t\u00c3\u00bce""}"
d07caa59-37ba-45c6-8f97-cccac48e4d4f,"[335,344)","[986,997)",T1_GP1,"{""sent_id"": ""a12"", ""start"": ""39.45"", ""end"": ""39.88"", ""text"": ""zm\u00c3\u00b6rgele""}"
37fa117b-8b02-4080-a78e-5511dbba5bdd,"[345,370)","[1014,1084)",T1_GP1,"{""sent_id"": ""a13"", ""start"": ""40.59"", ""end"": ""43.38"", ""text"": ""brunche mit sp\u00c3\u00a4ck u eier""}"
43703b0b-87fb-4641-b49c-c35369af8972,"[371,452)","[1102,1188)",T1_GP1,"{""sent_id"": ""a14"", ""start"": ""44.08"", ""end"": ""47.54"", ""text"": ""das isch de ganz wichtig dr speck het e (.) henne h\u00c3\u00b6che (unverst\u00c3\u00a4ndlich) bi \u00c3\u00bcs""}"
040d7c56-bef9-4628-9cf7-328771721e94,"[453,536)","[1230,1325)",T1_GP1,"{""sent_id"": ""a15"", ""start"": ""49.22"", ""end"": ""53.02"", ""text"": ""ja isch richtig gruusig we d ne muesch brate w\u00c3\u00bcu es isch so viu fett wo use chunnt""}"
c9f54482-e77e-47d4-b124-206822293b54,"[537,540)","[1357,1365)",T1_GP1,"{""sent_id"": ""a16"", ""start"": ""54.29"", ""end"": ""54.61"", ""text"": ""mhm""}"
ebfe27f0-f799-44c8-b0fe-a2c739b09283,"[541,634)","[1446,1613)",T1_GP1,"{""sent_id"": ""a17"", ""start"": ""57.87"", ""end"": ""64.54"", ""text"": ""n\u00c3\u00a4r heimer ufruume after brunch time wo meistens \u00c3\u00b6pper vorbereitet irgendwie meistens d XXX""}"
9f5345d8-7bc6-48d6-a5ee-ef958004b1c3,"[635,758)","[1628,1780)",T1_GP1,"{""sent_id"": ""a18"", ""start"": ""65.15"", ""end"": ""71.22"", ""text"": ""u n\u00c3\u00a4r itz l\u00c3\u00a4s\u00c3\u00a4 mer so nes buech n\u00c3\u00a4r t\u00c3\u00bce mer das wie vert\u00c3\u00b6ife es isch r\u00c3\u00a4cht kompliziert eis mau bini vou nid drus cho""}"
36bda6bb-717d-4adf-b408-f63681edc4b3,"[759,846)","[1781,1972)",T1_GP1,"{""sent_id"": ""a19"", ""start"": ""71.25"", ""end"": ""78.9"", ""text"": ""aber mou mou i has n\u00c3\u00a4r verstange aber weisch so u was gits aues evangeliste prophete u""}"
facdc14a-22f5-4da4-b1a5-be68e5b27dd2,"[847,995)","[2088,2316)",T1_GP1,"{""sent_id"": ""a20"", ""start"": ""83.54"", ""end"": ""92.64"", ""text"": ""u so ehm sie hei vo hirte schregstrich lehrer u no \u00c3\u00b6ppis dritts u n\u00c3\u00a4r hei mer haut so chli gluegt ja was mache de die was hei die f\u00c3\u00bcr ufgabe u so""}"
f545525d-ac66-47a8-bd87-6fad4ec607cc,"[996,1054)","[2325,2426)",T1_GP1,"{""sent_id"": ""a21"", ""start"": ""93.0"", ""end"": ""97.06"", ""text"": ""isch henne kompliziert gsi (unverst\u00c3\u00a4ndlich) uhu (.) h\u00c3\u00a4\u00c3\u00a4""}"
fb46ad8c-b918-4a5b-bcea-8c5563890df9,"[1055,1062)","[2432,2442)",T1_GP1,"{""sent_id"": ""a22"", ""start"": ""97.3"", ""end"": ""97.69"", ""text"": ""(.) mhm""}"
02dccd13-4569-4a35-9d7e-1345eefa129c,"[1063,1205)","[2496,2681)",T1_GP1,"{""sent_id"": ""a23"", ""start"": ""99.84"", ""end"": ""107.27"", ""text"": ""ja i bi \u00c3\u00a4b\u00c3\u00a4 das isch de erst brunch gsi i d\u00c3\u00a4m semester woni drbi bi gsi w\u00c3\u00bcu mir hei vorher mit de micros speziautag gha u (unverst\u00c3\u00a4ndich)""}"
a78cad32-10fa-4550-894a-2bd60807777b,"[1206,1223)","[2705,2713)",T1_GP1,"{""sent_id"": ""a24"", ""start"": ""108.22"", ""end"": ""108.54"", ""text"": ""(unverst\u00c3\u00a4ndlich)""}"
d358e115-00ea-46be-87fe-bf8ffbc2e7cf,"[1224,1257)","[2846,2889)",T1_GP1,"{""sent_id"": ""a25"", ""start"": ""113.87"", ""end"": ""115.57"", ""text"": ""sie si astr\u00c3\u00a4ngend aber isch guet""}"
be39fa90-3131-4088-b781-0e623d1c3aae,"[1258,1291)","[2895,2976)",T1_GP1,"{""sent_id"": ""a26"", ""start"": ""115.8"", ""end"": ""119.04"", ""text"": ""die wo ch\u00c3\u00b6i (unverst\u00c3\u00a4ndlich) si""}"
f04627b0-8df8-4a92-997b-2dfaad3d1586,"[1292,1388)","[3130,3290)",T1_GP1,"{""sent_id"": ""a27"", ""start"": ""125.22"", ""end"": ""131.61"", ""text"": ""nei teiuwis ize gd die wuuche hani nid so ne nerv gha wie angeri wuuchene o scho weiss nid wieso""}"
a0ac1c2e-e225-4016-9408-05e73ef556b0,"[1389,1411)","[3294,3327)",T1_GP1,"{""sent_id"": ""a28"", ""start"": ""131.78"", ""end"": ""133.1"", ""text"": ""das isch nid normau so""}"
d2468fd6-e3e2-49d0-a367-4dacf1a59fb2,"[1412,1510)","[3329,3502)",T1_GP1,"{""sent_id"": ""a29"", ""start"": ""133.16"", ""end"": ""140.1"", ""text"": ""oh eis ching isch die wuuche eifach \u00c3\u00a4r het so ne trotzphase weiss oh nid \u00c3\u00a4r streikt eifach total""}"
bf695414-f7e3-4f1f-bd4c-5133bf490503,"[1511,1667)","[3530,3688)",T1_GP1,"{""sent_id"": ""a30"", ""start"": ""141.21"", ""end"": ""147.53"", ""text"": ""\u00c3\u00a4r isch ga bisle u het nassi hose gha u het m\u00c3\u00bcesse n\u00c3\u00b6ii alege \u00c3\u00a4r isch sicher \u00c3\u00b6ppe z\u00c3\u00a4 minute ufem chaute bode eifach ghocket u het sich nid w\u00c3\u00b6ue alege""}"
5d0ff310-0fcf-40d6-86b0-2b26e6e56c7f,"[1668,1701)","[3688,3742)",T1_GP1,"{""sent_id"": ""a31"", ""start"": ""147.53"", ""end"": ""149.71"", ""text"": ""n\u00c3\u00a4r so leg itz d ungerhose a m m""}"
d1d30450-38ea-414e-9bff-95a37c822797,"[1702,1723)","[3856,3876)",T1_GP1,"{""sent_id"": ""a32"", ""start"": ""154.26"", ""end"": ""155.06"", ""text"": ""(.) (unverst\u00c3\u00a4ndlich)""}"
18bcf03b-0bc6-4bbe-910e-1258362e0fd6,"[1724,1729)","[4364,4385)",T1_GP1,"{""sent_id"": ""a33"", ""start"": ""174.57"", ""end"": ""175.43"", ""text"": ""so ja""}"
ba407747-3c48-493a-8342-55ae5c584a1d,"[1730,1760)","[4449,4479)",T1_GP1,"{""sent_id"": ""a34"", ""start"": ""177.99"", ""end"": ""179.18"", ""text"": ""tth das isch (unverst\u00c3\u00a4ndlich)""}"
13491f02-46e1-4f63-a29c-588483f57c42,"[1761,1788)","[4628,4673)",T1_GP1,"{""sent_id"": ""a35"", ""start"": ""185.12"", ""end"": ""186.94"", ""text"": ""ja das fingi eh i hasse das""}"
aa1f1109-c076-4e22-8398-13eee2183916,"[1789,1810)","[4906,4937)",T1_GP1,"{""sent_id"": ""a36"", ""start"": ""196.24"", ""end"": ""197.48"", ""text"": ""mit de chopfh\u00c3\u00b6rer an""}"
6efaa98c-8b6f-4388-a56a-8fbd7eaf5d3d,"[1811,1824)","[5079,5097)",T1_GP1,"{""sent_id"": ""a37"", ""start"": ""203.16"", ""end"": ""203.91"", ""text"": ""d\u00c3\u00a8s fingi oh""}"
2f85b936-4ec4-400e-b5e6-e14d2a71634c,"[1825,2013)","[5205,5462)",T1_GP1,"{""sent_id"": ""a38"", ""start"": ""208.23"", ""end"": ""218.5"", ""text"": ""das fingi o immer so die wo useg\u00c3\u00b6 oder z\u00c3\u00a4me n\u00c3\u00a4r hei aui gsehsch se so im gr\u00c3\u00bcppli irgendwie ds THUN am bahnhof jede het ei airpod dinne oder was oh immer gsehsch se so u d\u00c3\u00a4nksch so mhm""}"
d7a2350e-400a-4627-80c3-702efe3a2847,"[2014,2042)","[5723,5764)",T1_GP1,"{""sent_id"": ""a39"", ""start"": ""228.94"", ""end"": ""230.58"", ""text"": ""ds kasperlithe\u00c3\u00a4terli sicher""}"
64d9d163-da42-4717-966c-d625874a771e,"[2043,2154)","[5835,5956)",T1_GP1,"{""sent_id"": ""a40"", ""start"": ""233.43"", ""end"": ""238.24"", ""text"": ""ja weisch die f\u00c3\u00bchle sich eh wie die krassischte wo mir zw\u00c3\u00b6ufi si gsi simer eifach no ching gsi u hei b\u00c3\u00a4belet""}"
e5fe4df8-72eb-4dd0-b945-ba64764d9ee3,"[2155,2200)","[6036,6114)",T1_GP1,"{""sent_id"": ""a41"", ""start"": ""241.47"", ""end"": ""244.57"", ""text"": ""mou wart mit zw\u00c3\u00b6ufi da simer ir s\u00c3\u00a4chste gsi""}"
193fbb12-bbed-4a6a-b730-7a372c1d5759,"[2201,2243)","[6127,6289)",T1_GP1,"{""sent_id"": ""a42"", ""start"": ""245.09"", ""end"": ""251.56"", ""text"": ""mou da hani imu mou (...) das weissi no ja""}"
7812489d-53a7-4de4-90e3-b187a949fc9b,"[2244,2263)","[6301,6352)",T1_GP1,"{""sent_id"": ""a43"", ""start"": ""252.07"", ""end"": ""254.09"", ""text"": ""im bach ga spaziere""}"
b41c7ae1-70f6-4f06-bca6-cb8586f3ab46,"[2264,2389)","[6353,6574)",T1_GP1,"{""sent_id"": ""a44"", ""start"": ""254.12"", ""end"": ""262.97"", ""text"": ""u n\u00c3\u00a4r ga (...) ja u ga picknick \u00c3\u00a4sse w\u00c3\u00bcu mer nassi chleider hei gha u d r\u00c3\u00a4gehose aus hose eh d r\u00c3\u00a4gejacke aus hose agleit""}"
10d188d4-0cbf-4e0e-bc09-2d265b856630,"[2390,2406)","[6676,6712)",T1_GP1,"{""sent_id"": ""a45"", ""start"": ""267.07"", ""end"": ""268.49"", ""text"": ""d hose ufgh\u00c3\u00a4nkt""}"
93d9a68c-35ef-44f7-9466-60e7ed3420f6,"[2407,2410)","[6902,6919)",T1_GP1,"{""sent_id"": ""a46"", ""start"": ""276.11"", ""end"": ""276.76"", ""text"": ""mhm""}"
87adc1b5-34f4-49ff-8a7c-2835c953adbd,"[2411,2429)","[6940,6969)",T1_GP1,"{""sent_id"": ""a47"", ""start"": ""277.63"", ""end"": ""278.77"", ""text"": ""ja bir chr\u00c3\u00bczig da""}"
4f2705d4-796e-46ae-a78e-314e5e988550,"[2430,2454)","[7065,7119)",T1_GP1,"{""sent_id"": ""a48"", ""start"": ""282.61"", ""end"": ""284.79"", ""text"": ""u si einfach n\u00c3\u00bcm usecho""}"
3bc22f1b-6bd9-497e-b581-e31bbb687cf2,"[2455,2507)","[7161,7235)",T1_GP1,"{""sent_id"": ""a49"", ""start"": ""286.47"", ""end"": ""289.43"", ""text"": ""ja das mache die ching h\u00c3\u00bct zu tags aui n\u00c3\u00bcm meh (.)""}"
b0a6961c-1a57-47f5-8303-ebc66de741ce,"[2508,2752)","[7236,7479)",T1_GP1,"{""sent_id"": ""a50"", ""start"": ""289.46"", ""end"": ""299.17"", ""text"": ""i meine scho itz ir kita we \u00c3\u00a4s ching umgheit n\u00c3\u00a4r immer so eh n\u00c3\u00a4r ch\u00c3\u00b6i si n\u00c3\u00bcm ufstah w\u00c3\u00bcu si ihri h\u00c3\u00a4ng nid wei a bode tue w\u00c3\u00bcue de bode ja dr\u00c3\u00a4ckig isch es gseht im (.) fau henne luschtig us aber nei nei da (.) hiufi imfau d\u00c3\u00a4 ching nid uf""}"
150501ae-caaa-4064-9056-ed7b259bc575,"[2753,2766)","[7860,7879)",T1_GP1,"{""sent_id"": ""a51"", ""start"": ""314.41"", ""end"": ""315.16"", ""text"": ""h\u00c3\u00a4 wieso nid""}"
