text_id,text
1,lachen
2,lacht
3,lachen wie robbe
4,fängt an zu lachen
5,holt luft
6,ausruf
7,när isch sie haut immer so schnäu furt u ja
8,hustet
9,kichert
10,lacht beim reden
11,pfeifen ohne ton
12,geräusch
13,täuscht husten vor
14,klicht mit zunge
15,räusper
16,mhm
17,stöhnt
18,flüstert
19,stöhnt (..)
20,stöhnt u lacht
21,lacht mit vollem mund
22,schmunzelt
23,erholt sich vom lachen
24,seufzt
25,geräusch zunge
26,ah
27,und bi dere weisch so die angere (unverständlich) zum bispiu bio chemie di gö uf ehm KROATIE chli ga touche und meeresbiologie (.) u so spanisch muess
28,schmunzelt beim reden
29,(.) das fragi mi immer i weiss imfau gar nid
30,lacht spottend
31,kichern
32,gähnt
33,ahmt weinen nach u lacht
34,lacht weil sie mich anschaut
35,redet mit GP1 die ihr sirupglas nimmt
36,lachendes geräusch
37,NICE QUOTE
38,kommt wieder ins zimmer
39,"Ort: Emmental, BE"
40,"Ort: Langnau, BE"
41,"Ort: Trub, BE"
42,"Ort: Konolfingen, BE"
43,iich: iigetlich 'eigentlich'
44,lautes Hintergrundgeräusch
45,"Ort: Wichtrach, BE"
46,"Ort: Bern, BE"
47,"Ort: Oberlangenegg, BE"
48,ischi: isch sie
49,KV: Kaufmännische Lehre
50,BM: Berufsmatura
51,"Ort: Langenthal, BE"
52,BM: Berufsmaturität; nar: nach der
53,"(UNVERSTÄNDLICH), unklar, wer spricht"
54,lautes Hintegrundgeräusch
55,chö: Wortabbruch 'chöit'
56,Name: FC Langnau
57,Name: FC Trubschachen
58,"Ort: Sumi 'Sumiswald, BE'"
59,Negationspartikel
60,"Ort: Yvonnand, VD"
61,"Ort: Yvonnand, NE"
62,ma: Wortabbruch
63,Ort: VD 8 (Campingplatz)
64,la: Wortabbruch
65,wii: Wortabbruch 'wiiss'
66,meiste: Wortabbruch 'meistens'
67,i: Wortabbruch
68,ÜK: Übungskurs
69,bege: Versprecher
70,s: Wortabbruch 'säuber'; iich: iigentlech 'eigentlich'
71,m: Wortabbruch
72,"Ort: Toronto, CAN"
73,"Ort: Vancouver, CAN"
74,wha: Wortabbruch 'whatsapp'
75,mäng: Wortabbruch 'mängisch'
76,ä: Wortabbruch
77,(Person grüsst)
78,dän: Wortabbruch 'dänke'
79,pin: Wortabbruch 'pinlech'
80,a: Wortabbruch 'aube'
81,iige: Wortabbruch 'iigentlech'
82,fa: Wortabbruch 'fahre'
83,irgendöp: Wortabbruch 'irgendöpper'
84,chli es gäh u es näh
85,aspä: Wortabbruch 'aspäkt'
86,Kellnerin: dir sit no z fride
87,chö: Wortabbruch 'chönnt'
88,GP2 grüsst anderen Gast
89,Wortabbruch: merksch
90,ha: Wortabbruch 'handy'
91,ansta: Wortabbruch
92,gäu: Wortabbruch 'gäud'
93,versch: Wortabbruch 'verstah'
94,(lautes Hintergrundgeräusch)
95,(LACHEN)
96,(KLATSCHEN)
97,(M&Ms RASCHELN IN SCHÜSSEL)
98,(TÜR GEHT AUF)
99,(IMITIERT WÜRGEN)
100,(PRUSTET UND LACHT)
101,(LACHT)
102,(SUMMT)
103,(HEULT)
104,(RÜLPST)
105,(IMITIERT RÜLPSER)
106,(SCHREIT)
107,(PRUSTET)
108,(SCHNARCHT)
109,(ÄRGERT SICH)
110,(RÄUSPERT SICH)
111,(HUSTET)
112,(PFEIFT)
113,ATMET VOR SCHMERZ (GP 1 DRÜCKT GP 2 BEIM HANDSCHLAG DIE HAND ZU STARK)
114,hm
115,ja
116,(TRINKT)
117,(INGRESSIVES ZISCHEN)
118,(DEMONSTRIERT EINEN TANZ)
119,(GESPIELTES LACHEN)
120,(PUSTET)
121,(MACHT GERÄUSCHE BEIM ÜBERLEGEN)
122,(IMITIERT EIN FALLGERÄUSCH)
123,(MACHT GERÄUSCHE)
124,(MACHT KUSSGERÄUSCHE)
125,(GÄHNT)
126,(GÄHNT
127,vo wird in die länge gezogen
128,Amsterdam wird mit Akzent ausgesprochen
129,atmet tief ein dann lachen
130,starkes schnürfeln
131,mh
132,:lacht
133,lacht leise
134,zieht in die länge
135,gleichzeitiges unverständliches sprechen
136,aussage endet in lachen
137,singt
138,mit nachdruck
139,diktiert
140,singen
141,macht ostschweizer dialekt nach
142,imitiert anderen dialekt
143,betonung auf s
144,lacht beim sprechen
145,immitiert stimme
146,lachender unterton
147,schockiert nach luft schnappen
148,nachäffen einer wütenden person
149,nachäffender tonfall
150,nachäffend
151,schmatzgeräusch
152,lachen stampfen und klatschen
153,ahmt eventuell eine gestresste person nach
154,ahmt gestresste person nach
155,kaugeräusch
156,ausschnitt endet in lachen
157,imitiert furzgeräusch
158,ds cha itz ni wahr si
159,singt mit
160,imitiert sich selbst beim lachen
161,schnalzt zunge
162,verneinend
163,lacht und spricht unverständlich
164,summt
165,klopft
166,nachahmen einer person
