text_id,text
1,wasser wird eingeschenkt
2,GP1 verteilt wasser
3,geräusch glas auf tisch
4,(ALLE LACHEN)
5,(LACHEN)
6,(TÜRKLOPFEN)
7,(TÜRKNALLEN)
8,(gelächter)
9,(IM HINTERGRUND ) abe mitenand
10,(LAUTE HINTERGRUNDGERÄUSCHE)
11,(VIDEO SPIELT IM HINTERGRUND)
12,(SCHLAG)
13,(GP1 HAT GP2 KEKSE ANGEBOTEN)
14,(SCHLÄGE)
15,schlag
16,(FINGERSCHNIPSEN)
17,(DUMPFES GERÄUSCH)
18,(UNVERSTÄNDLICH)
19,Video HANS-RUDOLF MERZ: an anmerkung (.) sechs
20,Video HANS-RUDOLF MERZ: zum kapi
21,Video HANS-RUDOLF MERZ: en (.) hat die zollverwaltung (.) zusätzlich (.) (LACHT)
22,Video HANSRUDOLF MERZ: (LACHT)
23,Video HANS-RUDOLF MERZ: die schweizerischen erläuterungen (LACHT)
24,Video HANS-RUDOLF MERZ: (HUSTET) (.) zum zolltarif
25,Video HANS-RUDOLF MERZ: zum zolltarif publiziert (.) danach werden gewisse erzeugnisse (.) noch im kapitel zwei
26,eingereiht (.) denen bei der herstellung würzstoffe
27,zugesetzt worden sind (.) sofern dadurch der charakter einer ware dieses kapitels nicht verändert wird
28,Video HANS-RUDOLF MERZ: klammer (.) zum beispiel (.) bünd (LACHT)
29,Video: (DAS PUBLIKUM LACHT)
30,Video HANS-RUDOLF MERZ: zum beispiel bündnerfleisch
31,Video HANS-RUDOLF MERZ: ausgeschlossen von diesem kapitel bleibt hingegen fleisch (.) bei dem die würzstoffe (.) auf allen flächen (.) des erzeugnisses verteilt und mit blossem auge wahrnehmbar sind
32,Video Black Friday
33,tür schliesst
34,jemand isst Nüsse
35,teller klirrt
36,flasche rollt
37,knacken
38,nüsse essen
39,es klirrt
40,nüsse
41,(...)
42,klirren
43,mitklopfen zum gesang
44,(.)
45,sehr leises lachen der beiden
46,beide seufzen
47,flasche klirrt gegen ende der aussage
48,dumpfer schlag
49,[unverständlich]
50,glas wird geschoben
51,beide essen nüsse
52,beide lachen
53,[unverständliches reden von beiden]
54,jemand schnürfelt
55,klicken
56,klopfen
57,rauslöschen
58,jemand schnalzt zwei mal mit der zunge
59,klopft an der tür
60,tür geht auf
61,tür quietscht weil interviwerin herein kommt
62,klopfts ans mikrofon
63,türe schliesst wieder
64,es wird etwas gesucht und flaschen klirren
65,flasche wird aufgschraubt
66,knuspern vom essen
67,beginn video
68,video läuft
69,bis hier video geräusche
70,die beiden stehen auf um auf den balkon zu gehen
71,mikrofon klickt
72,(.....)
73,schlag geräusch
74,starkes dumpfes klopfen
75,dumpfes schlagen
76,knarrende türe
77,geräusch
78,blabla
79,bum
80,"durch das ganze Transkript hindurch sind weitere Stimmen im Hintergrund zu hören, welche zum Teil deutlich gehört werden, jedoch nicht transkribiert wurden"
81,Bierflasche wird geöffnet und angestossen
82,"Schwester ruft zuvor Tschüss, dies Verabschiedung an sie von GP1"
83,Bier fällt runter
84,Bier wird aufgelesen und geputzt
85,tür öffnet sich interviewerin kommt zurück mit Kaffee
86,inverviewerin verteilt kaffee
87,rühren kaffee um
88,alle lachen
89,lachen
90,alle schmunzeln
91,allgemeines lachen und schmunzeln
92,tür öffnet sich und jemand kommt herein
93,jemand grüsst
94,ade mitenand
95,schmunzeln
96,pop
97,lachen Interviewer
98,"""Dunkin Donut Mitarbeiter bietet Backwaren an"": heiter weue versueche"
99,KUSSGERÄUSCH
100,GP1 spielt eine voice message ab auf seinem iphone
101,"""gast im dunkin donuts"": if you dont mind can i borrow your (unverständlich)"
102,the (unverständlich) if you dont mind
103,thank you very much
104,"""dunkin donuts gast"": thank you very much"
105,thank you
106,handy vibriert
107,glas wird umgestossen
108,verkehrslärm
109,glas fällt um
110,tür wird geöffnet
